Date,CHK,AMD,LNT,FCX,VRTX,WMB,INCY,NFLX,MRO,MU,MCD,BRK-B,SO,T,KO,PG,JNJ,WM,RSG,PEP
2017-01-03,,11.430000305175781,32.63023376464844,13.269649505615234,74.88999938964844,23.70872688293457,102.31999969482422,127.48999786376953,16.718727111816406,22.518522262573242,106.51321411132812,163.8300018310547,39.48225402832031,31.69947624206543,35.7898063659668,73.02338409423828,102.18793487548828,64.22279357910156,51.94597625732422,90.95391082763672
2017-01-04,,11.430000305175781,32.82810974121094,14.28076171875,77.05000305175781,23.633365631103516,102.83999633789062,129.41000366210938,16.99172592163086,22.32878875732422,106.38854217529297,164.0800018310547,39.4420051574707,31.515260696411133,35.66136932373047,73.28358459472656,102.0203628540039,64.04064178466797,52.037322998046875,91.12773895263672
2017-01-05,,11.239999771118164,32.78509521484375,14.078539848327637,79.05999755859375,23.91973876953125,104.80999755859375,131.80999755859375,17.11410140991211,22.079137802124023,106.58444213867188,163.3000030517578,39.562774658203125,31.426847457885742,35.74699020385742,73.76924133300781,103.0877456665039,64.28653717041016,52.25653839111328,91.00606536865234
2017-01-06,,11.319999694824219,32.51840591430664,14.348172187805176,79.38999938964844,24.43219566345215,108.30999755859375,131.07000732421875,16.83169174194336,22.009235382080078,107.52827453613281,163.41000366210938,39.45809555053711,30.80068588256836,35.738426208496094,73.74321746826172,102.59375,63.9222526550293,52.09212112426758,90.87569427490234
2017-01-09,,11.489999771118164,32.07106399536133,14.136319160461426,82.86000061035156,24.062929153442383,118.52999877929688,130.9499969482422,16.379837036132812,22.30881690979004,107.23444366455078,162.02000427246094,39.0716552734375,30.413066864013672,35.378814697265625,73.19685363769531,102.57610321044922,63.548851013183594,51.534942626953125,89.91967010498047
2017-01-10,,11.4399995803833,32.03664016723633,14.974098205566406,82.93000030517578,21.478025436401367,119.30000305175781,129.88999938964844,16.455142974853516,22.448619842529297,107.07415771484375,161.47000122070312,38.950897216796875,30.420528411865234,35.13908004760742,72.40765380859375,102.4702377319336,63.28478240966797,51.78155517578125,88.6246566772461
2017-01-11,,11.199999809265137,32.47538757324219,15.282243728637695,81.93000030517578,21.689041137695312,115.29000091552734,130.5,16.652830123901367,22.758188247680664,107.63513946533203,162.22999572753906,39.24072265625,30.27143669128418,35.14763641357422,72.63314056396484,101.20879364013672,63.86760711669922,51.98250961303711,88.48560333251953
2017-01-12,,10.760000228881836,32.38935852050781,14.7044677734375,82.38999938964844,21.62874984741211,117.55000305175781,129.17999267578125,16.41748809814453,22.278858184814453,108.72146606445312,161.41000366210938,39.450050354003906,30.56960678100586,35.062007904052734,72.71118927001953,101.11175537109375,63.6490478515625,52.15605926513672,88.51167297363281
2017-01-13,,10.579999923706055,32.25172424316406,14.627429962158203,83.16999816894531,21.523244857788086,117.75,133.6999969482422,16.426902770996094,22.14904022216797,108.18719482421875,161.89999389648438,39.289024353027344,30.532337188720703,35.00208282470703,72.85863494873047,101.09410858154297,63.5579833984375,52.2839469909668,88.2596435546875
2017-01-17,,9.819999694824219,32.47538757324219,14.50224494934082,81.55000305175781,21.43281364440918,113.63999938964844,132.88999938964844,16.41748809814453,21.709653854370117,109.30024719238281,159.63999938964844,40.00556945800781,30.64414405822754,35.29319763183594,73.89933776855469,101.33229064941406,63.275657653808594,51.98250961303711,88.81586456298828
2017-01-18,,9.880000114440918,32.432373046875,14.675578117370605,82.5199966430664,21.357450485229492,115.08999633789062,133.25999450683594,16.31393814086914,22.288843154907227,109.26461029052734,160.49000549316406,39.94921875,30.413066864013672,35.35313034057617,74.24026489257812,101.18231201171875,63.37583541870117,52.393550872802734,89.29387664794922
2017-01-19,,9.770000457763672,32.07106399536133,14.69483757019043,80.91000366210938,21.440349578857422,117.52999877929688,138.41000366210938,16.25745964050293,21.67969512939453,108.7927017211914,159.41000366210938,39.49030685424805,30.562152862548828,35.22470474243164,74.03919219970703,100.74124145507812,63.35762405395508,52.3478889465332,88.96363067626953
2017-01-20,,9.75,32.13988494873047,14.935580253601074,81.37000274658203,21.259477615356445,117.22000122070312,138.60000610351562,16.5775203704834,21.929346084594727,108.86392974853516,160.2100067138672,39.49836349487305,30.897586822509766,35.378814697265625,76.44306945800781,100.69715118408203,63.439598083496094,52.393550872802734,89.72846984863281
2017-01-23,,9.90999984741211,31.855995178222656,15.137802124023438,81.4000015258789,21.259477615356445,117.41999816894531,137.38999938964844,16.398658752441406,21.85944366455078,108.08033752441406,158.80999755859375,39.31318283081055,31.307573318481445,35.47300338745117,76.0147476196289,100.48541259765625,63.14815902709961,52.2839469909668,90.39768981933594
2017-01-24,,10.4399995803833,31.787174224853516,16.3896541595459,82.23999786376953,21.462953567504883,118.30000305175781,140.11000061035156,16.66224479675293,22.818103790283203,107.78650665283203,160.72000122070312,39.10385513305664,30.830507278442383,35.87541961669922,76.80146026611328,98.58880615234375,63.348506927490234,52.55796813964844,91.00606536865234
2017-01-25,,10.350000381469727,31.73555564880371,15.888915061950684,85.19000244140625,21.71164894104004,120.91000366210938,139.52000427246094,16.709312438964844,23.52711296081543,108.44541931152344,164.25,39.039459228515625,30.85287094116211,36.063785552978516,76.18956756591797,99.5062255859375,63.44868469238281,52.81372833251953,90.91914367675781
2017-01-26,,10.520000457763672,31.787174224853516,15.253357887268066,85.33000183105469,21.832225799560547,120.63999938964844,138.9600067138672,16.709312438964844,23.48716926574707,108.52555847167969,164.9199981689453,39.15216827392578,31.136127471923828,35.798362731933594,75.7000503540039,98.65936279296875,63.50334548950195,52.65843963623047,90.51066589355469
