Date,GOOGL,TSLA,FB,AMZN,AAPL,MSFT,VOD,ADBE,NVDA,CRM
2015-01-02,529.5499878,43.86199951,78.44999695,308.519989,24.74599838,41.1938324,23.3538456,72.33999634,4.840062618,59.24000168
2015-01-05,519.460022,42.01800156,77.19000244,302.1900024,24.04886055,40.81502151,22.53032303,71.98000336,4.758315086,58.16999817
2015-01-06,506.6400146,42.25600052,76.15000153,295.2900085,24.05112457,40.21596909,22.38620186,70.52999878,4.614049435,57.20000076
2015-01-07,505.1499939,42.18999863,76.15000153,298.4200134,24.38837433,40.7269249,22.53717995,71.11000061,4.602027893,56.93000031
2015-01-08,506.9100037,42.12400055,78.18000031,300.4599915,25.32543182,41.92504501,23.32639503,72.91999817,4.775144577,58.59000015
2015-01-09,500.7200012,41.33200073,77.73999786,296.9299927,25.35259438,41.57266235,23.34012032,71.83999634,4.794379234,58.15999985
2015-01-12,497.0599976,40.44200134,76.72000122,291.4100037,24.72788811,41.05288315,23.55286407,71.12000275,4.734269619,57.72999954
2015-01-13,501.7999878,40.84999847,76.44999695,294.7399902,24.94743538,40.84145355,23.66953087,70.58999634,4.727057934,57.97000122
2015-01-14,505.9299927,38.5379982,76.27999878,293.269989,24.85237885,40.48906326,23.61463165,69.98999786,4.746291637,57.25
2015-01-15,504.0100098,38.37400055,74.05000305,286.9500122,24.17788315,40.06621552,23.55286407,70.29000092,4.712630272,55.11000061
2015-01-16,510.4599915,38.61399841,75.18000031,290.7399902,23.99000549,40.73573303,23.73816109,71.73000336,4.799188137,56.63999939
2015-01-20,509.9400024,38.38600159,76.23999786,289.4400024,24.60793114,40.86788559,24.03325462,71.48999786,4.813614368,57.29000092
2015-01-21,520.3900146,39.31399918,76.73999786,297.25,24.79578972,40.45383072,24.72638893,71.54000092,4.880938053,57.70999908
2015-01-22,537.2999878,40.32400131,77.65000153,310.3200073,25.44086456,41.51979446,24.71266365,73.48000336,4.965091228,58
2015-01-23,541.9500122,40.25799942,77.83000183,312.3900146,25.57214928,41.56383896,24.65776062,74.05999756,4.979517937,58.61999893
2015-01-26,536.7199707,41.31000137,77.5,309.6600037,25.59930801,41.4140892,24.71266365,72.73999786,4.957879066,59.77999878
2015-01-27,521.1900024,41.19599915,75.77999878,306.75,24.70299339,37.58188248,24.64404106,71.45999908,4.719842434,57.79000092
2015-01-28,512.4299927,39.87400055,76.23999786,303.9100037,26.09951973,36.28687668,24.39011574,70.25,4.642902374,56.34999847
2015-01-29,513.2299805,41.04000092,78,311.7799988,26.91209221,37.00925446,24.66462898,71.63999939,4.755908966,58.09999847
2015-01-30,537.5499878,40.72000122,75.91000366,354.5299988,26.51825714,35.59091568,24.10874557,70.12999725,4.616452694,56.45000076
2015-02-02,532.2000122,42.18799973,74.98999786,364.4700012,26.85097504,36.36616516,24.14305687,71.11000061,4.717438698,57.27999878
2015-02-03,533.2999878,43.67200089,75.40000153,363.5499878,26.8555088,36.64806366,24.64404106,71.91999817,4.835255146,58.61000061
2015-02-04,526.0999756,43.70999908,75.62999725,364.75,27.06147575,36.85949707,24.534235,72.27999878,4.847277641,58.99000168
2015-02-05,529.8300171,44.19800186,75.61000061,373.8900146,27.25462723,37.39688873,24.14305687,73.09999847,4.926621914,59.25999832
2015-02-06,533.8800049,43.47200012,74.47000122,374.2799988,27.02511787,37.36164093,24.08129311,72.54000092,4.904980183,59.16999817
2015-02-09,529.2800293,43.49599838,74.44000244,370.5599976,27.20464134,37.31760788,23.81365013,72.33000183,4.900174141,57.97999954
2015-02-10,540.1599731,43.25799942,75.19000244,373,27.72728348,37.52902603,24.18424034,72.76000214,5.037224293,58.79000092
2015-02-11,538,42.56000137,76.51000214,375.1400146,28.37717438,37.33522797,24.04011917,73.01000214,5.003561974,58.79999924
2015-02-12,546.0100098,40.57600021,76.23000336,377.1700134,28.73620415,37.96071243,24.50678444,74.58999634,5.361818314,61.25999832
2015-02-13,551.1599731,40.75400162,75.73999786,381.8299866,28.87709236,38.64785385,24.60286331,76.51000214,5.36422348,62.84999847
2015-02-17,545.0100098,40.86999893,75.59999847,375.4299927,29.04751587,38.66559601,24.34207726,77.12999725,5.381053448,62.06999969
2015-02-18,542.6500244,40.89199829,76.70999908,373.3699951,29.24975777,38.62124252,23.91658974,77.73000336,5.318539143,63
2015-02-19,546.4500122,42.34199905,79.41999817,379,29.18840408,38.59461975,24.17051125,77.73000336,5.332965374,62.81000137
2015-02-20,541.7999878,43.42200089,79.90000153,383.6600037,29.42699814,38.91402054,24.64404106,78.55000305,5.371436119,63.74000168
2015-02-23,535,41.4679985,78.83999634,380.1400146,30.22232056,39.17133331,24.69207573,78.09999847,5.328157425,62.58000183
2015-02-24,538.6500244,40.8219986,78.44999695,378.5899963,30.03371811,39.11808014,23.88914108,77.68000031,5.384877682,61.93000031
2015-02-25,547.3300171,40.7519989,79.55999756,385.3699951,29.26566505,39.0293541,23.74501991,78.06999969,5.343846321,62.86999893
2015-02-26,559.289978,41.43799973,80.41000366,384.7999878,29.63605309,39.09146881,23.73129845,78.95999908,5.358328819,70.23999786
2015-02-27,562.6300049,40.66799927,78.97000122,380.1600037,29.19067764,38.90514374,23.71757126,79.09999847,5.324535847,69.37999725
2015-03-02,575.0200195,39.4659996,79.75,385.6600037,29.33382988,38.9317627,23.73129845,79.79000092,5.454873562,68.45999908
